ConfigID,name,index,minTemperature,maxTemperature,hFOVPixels,vFOVPixels,hFOVDeg,vFOVDeg,senSim_percentBlur,senSim_percentNoise,trackFilePath
1197,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,0.0,E:\track.trk
1198,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,0.0,E:\track.trk
1199,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,0.0,E:\track.trk
1200,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,0.0,E:\track.trk
1201,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,0.0,E:\track.trk
1202,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,0.0,E:\track.trk
1203,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,0.0,E:\track.trk
1204,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,0.0,E:\track.trk
1205,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,0.0,E:\track.trk
1206,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,0.0,E:\track.trk
1207,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,0.5,E:\track.trk
1208,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,0.5,E:\track.trk
1209,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,0.5,E:\track.trk
1210,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,0.5,E:\track.trk
1211,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,0.5,E:\track.trk
1212,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,0.5,E:\track.trk
1213,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,0.5,E:\track.trk
1214,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,0.5,E:\track.trk
1215,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,0.5,E:\track.trk
1216,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,0.5,E:\track.trk
1217,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,0.5,E:\track.trk
1218,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.5,0.5,E:\track.trk
1219,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,0.5,E:\track.trk
1220,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,0.5,E:\track.trk
1221,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,0.5,E:\track.trk
1222,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,0.5,E:\track.trk
1223,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,0.5,E:\track.trk
1224,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,1.0,0.5,E:\track.trk
1225,Mid-wave Infarared - MWIR,0,0,70,640,512,20,16,0.0,1.0,E:\track.trk
